序号,简体,拼音,繁体,笔画,五行,姓氏
342,躄,bi,躄,20,水,否
343,鷩,bi,鷩,23,水,否
344,边,bian,邊,22,水,是
345,砭,bian,砭,9,土,否
346,笾,bian,籩,28,木,否
347,编,bian,編,15,水,否
348,萹,bian,萹,15,木,否
349,煸,bian,煸,13,火,否
350,箯,bian,箯,15,木,否
351,蝙,bian,蝙,15,水,否
352,鳊,bian,鯿,20,水,否
353,鞭,bian,鞭,18,水,否
354,贬,bian,貶,11,水,否
355,扁,bian,扁,9,水,是
356,窆,bian,窆,9,水,否
357,匾,bian,匾,11,水,否
358,惼,bian,惼,13,水,否
359,碥,bian,碥,14,土,否
360,稨,bian,稨,14,水,否
361,褊,bian,褊,15,水,否
362,藊,bian,藊,20,木,否
363,卞,bian,卞,4,木,是
364,弁,bian,覍,5,水,是
365,忭,bian,忭,8,水,否
366,抃,bian,抃,8,水,否
367,汳,bian,汳,8,水,否
368,汴,bian,汴,8,水,是
369,苄,bian,苄,10,木,否
370,拚,pan,拚,9,水,否
371,便,bian、pian,便,9,水,是
372,变,bian,變,23,水,否
373,昪,bian,昪,9,水,否
374,徧,bian,徧,11,水,否
375,揙,bian,揙,12,水,否
376,缏,bian,緶,15,水,否
377,遍,bian,遍,16,水,否
378,艑,bian,艑,14,金,否
379,辨,bian,辨,16,水,否
380,辩,bian,辯,21,水,是
381,辫,bian,辮,20,水,否
382,杓,biao,杓,7,木,否
383,彪,biao,彪,11,水,否
384,标,biao,標,15,木,否
385,飑,biao,颮,13,水,否
386,骉,biao,驫,30,水,否
387,髟,bian,髟,10,水,否
388,猋,biao,猋,12,水,否
389,幖,biao,幖,12,水,否
390,滮,biao,滮,14,水,否
391,骠,biao、piao,驃,21,水,??
392,熛,biao,熛,15,火,否
393,膘,biao,臕,21,水,否
394,麃,biao,麃,15,水,否
395,瘭,biao,瘭,16,水,否
396,镖,biao,鏢,19,金,否
397,飙,biao,飆,21,水,否
398,飚,biao,飈,18,水,否
399,瀌,biao,瀌,19,水,否
400,藨,biao,藨,21,木,是
401,穮,biao,穮,20,水,否
402,镳,biao,鑣,23,金,否
403,表,biao,表,8,水,否
404,婊,biao,婊,11,水,否
405,裱,biao,裱,14,水,否
406,褾,biao,褾,17,水,否
407,檦,biao,檦,17,木,否
408,俵,biao,俵,10,水,否
409,摽,biao,摽,15,水,否
410,鳔,biao,鰾,22,水,否
411,憋,bie,憋,15,水,否
412,鳖,bie,鱉,22,水,否
413,别,bie,别,7,水,是
414,蹩,bie,蹩,18,水,否
415,瘪,bie,癟,19,水,否
416,邠,bin,邠,11,水,是
417,宾,bin,賓,14,水,是
418,彬,bin,彬,11,木,否
419,傧,bin,儐,16,水,否
420,斌,bin,斌,11,水,是
421,滨,bin,濱,18,水,否
422,缤,bin,繽,20,水,否
423,槟,bin,檳,18,木,否
424,镔,bin,鑌,22,金,否
425,濒,bin,瀕,20,水,否
426,豳,bin,豳,17,水,否
427,蠙,bin,蠙,20,水,否
428,摈,bin,擯,18,水,否
429,殡,bin,殯,18,水,否
430,膑,bin,臏,20,水,否
431,髌,bin,髕,24,水,否
432,鬓,bin,鬢,24,水,否
433,冰,bing,冰,6,水,否
434,兵,bing,兵,7,水,是
435,栟,bing,栟,10,木,否
436,丙,bing,丙,5,火,是
437,邴,bing,邴,12,水,是
438,秉,bing,秉,8,水,是
439,柄,bing,柄,9,木,是
440,炳,bing,炳,9,火,是
441,饼,bing,餅,15,水,否
442,蛃,bing,蛃,11,火,否
443,禀,bing,禀,13,水,否
444,并,bing,並,6,水,否
445,幷,bing,幷,8,水,是
446,病,bing,病,10,水,否
447,摒,bing,摒,13,水,否
448,拨,bo,撥,16,水,否
449,波,bo,波,9,水,是
450,玻,bo,玻,10,水,否
451,剥,bo,剥,10,金,否
452,砵,bo,砵,10,水,否
453,袯,bo,襏,18,水,否
454,钵,bo,鉢,13,金,否
455,饽,bo,餑,16,水,否
456,啵,bo,啵,12,水,否
457,脖,bo,脖,13,水,否
458,菠,bo,菠,14,水,否
459,嶓,bo,嶓,15,土,否
460,播,bo,播,16,水,是
461,伯,bo、bai,伯,7,水,是
462,孛,bo、bei,孛,7,水,是
463,驳,bo,駁,14,水,否
464,帛,bo,帛,8,水,是
465,泊,bo,泊,9,水,是
466,瓝,bo,瓝,8,水,否
467,勃,bo,勃,9,水,是
468,亳,bo,亳,10,水,是
469,浡,bo,浡,11,水,否
470,钹,bo,鈸,13,金,否
471,铂,bo,铂,13,金,否
472,舶,bo,舶,11,水,否
473,博,bo,博,12,水,是
474,渤,bo,渤,13,水,是
475,葧,bo,葧,15,木,否
476,鹁,bo,鵓,18,水,否
477,搏,bo,搏,14,水,否
478,馎,bo,餺,18,水,否
479,鲌,bo,鮊,16,水,否
480,僰,bo,僰,14,水,是
481,箔,bo,箔,14,水,否
482,膊,bo,膊,16,水,否
483,踣,bo,踣,15,水,否
484,镈,bo,鑮,24,金,否
485,薄,bo、bao,薄,19,水,是
486,馞,bo,馞,16,水,否
487,襮,bo,襮,21,水,否
488,礴,bo,礴,21,土,否
489,跛,bo,跛,12,水,否
490,簸,bo,簸,19,木,否
491,擘,bo,擘,17,水,否
492,檗,bo,檗,17,木,否
493,峬,bu,峬,10,土,否
494,庯,bu,庯,10,水,否
495,逋,bu,逋,14,水,否
496,钸,bu,鈽,12,金,否
497,晡,bu,晡,11,火,否
498,餔,bu,餔,15,水,否
499,醭,bu,醭,19,水,否
500,卜,bu、bo,蔔,2,水,是
501,卟,bu,卟,5,水,否
502,补,bu,補,13,水,是
503,哺,bu,哺,9,水,否
504,捕,bu,捕,11,水,否
505,鵏,bu,鵏,18,水,否
506,不,bu、fou,不,4,水,是
507,布,bu,布,5,水,是
508,吥,bu,吥,7,水,否
509,步,bu,步,7,水,是
510,怖,bu,怖,9,水,否
511,钚,bu,鈈,12,水,否
512,部,bu,部,15,水,是
513,埠,bu,埠,11,土,否
514,瓿,bu,瓿,12,水,否
515,蔀,bu,蔀,16,木,否
