序号,简体,拼音,繁体,笔画,五行,姓氏
1767,噶,ga,噶,16,木,是
1768,尕,ga,尕,5,木,否
1769,尬,ga,尬,6,木,否
1770,侅,hai,侅,8,水,是
1771,该,gai,該,13,木,否
1772,陔,gai,陔,13,木,否
1773,垓,gai,垓,9,土,否
1774,赅,gai,賅,13,木,否
1775,改,gai,改,7,木,否
1776,丐,gai,匃,4,木,是
1777,钙,gai,鈣,12,金,否
1778,盖,gai、ge,蓋,14,木,是
1779,溉,gai,溉,13,水,否
1780,戤,gai,戤,13,木,否
1781,概,gai,槩,13,木,否
1782,干,gan,干,3,木,是
1783,甘,gan,甘,5,木,是
1784,杆,gan,杆,7,木,否
1785,肝,gan,肝,9,木,否
1786,坩,gan,坩,7,土,否
1787,泔,gan,泔,9,水,否
1788,苷,gan,苷,11,木,否
1789,柑,gan,柑,9,木,否
1790,竿,gan,竿,9,木,否
1791,疳,gan,疳,9,木,否
1792,酐,gan,酐,10,木,否
1793,尴,gan,尷,12,木,否
1794,秆,gan,稈,8,木,否
1795,赶,gan,趕,14,木,否
1796,敢,gan,敢,11,木,否
1797,感,gan,感,13,木,否
1798,澉,gan,澉,15,水,否
1799,橄,gan,橄,15,木,否
1800,擀,gan,擀,17,木,否
1801,旰,gan,旰,7,火,否
1802,矸,gan,矸,8,土,否
1803,绀,gan,紺,10,木,否
1804,淦,gan,淦,12,水,是
1805,幹,gan,幹,13,木,是
1806,赣,gan、gong,贛,24,木,是
1807,冈,gang,岡,8,水,否
1808,刚,gang,剛,10,金,是
1809,岗,gang,崗,11,土,是
1810,纲,gang,綱,14,木,否
1811,肛,gang,疘,9,木,否
1812,缸,gang,缸,9,木,否
1813,钢,gang,鋼,16,金,是
1814,罡,gang,罡,10,金,否
1815,港,gang,港,13,水,否
1816,杠,gang,槓,7,木,否
1817,筻,gang,筻,13,木,否
1818,戆,gang,戆,28,木,否
1819,皋,gao,皐,12,木,是
1820,羔,gao,羔,10,木,否
1821,高,gao,高,10,木,是
1822,睾,gao,睾,14,木,否
1823,膏,gao,膏,14,木,否
1824,篙,gao,篙,16,木,否
1825,糕,gao,餻,16,木,否
1826,杲,gao,杲,8,木,否
1827,搞,gao,搞,14,木,否
1828,缟,gao,缟,16,木,否
1829,槁,gao,槀,14,木,否
1830,稿,gao,稾,15,木,否
1831,镐,gao,鎬,18,金,是
1832,藁,gao,藁,20,木,否
1833,告,gao,告,7,木,是
1834,诰,gao,誥,14,木,否
1835,郜,gao,郜,14,木,是
1836,锆,gao,鋯,15,金,否
1837,戈,ge,戈,4,金,是
1838,圪,ge,圪,6,土,否
1839,纥,ge,紇,9,木,是
1840,疙,ge,疙,8,木,否
1841,哥,ge,哥,10,木,是
1842,胳,ge,胳,12,木,否
1843,袼,ge,袼,12,木,否
1844,鸽,ge,鴿,17,木,否
1845,割,ge,割,12,金,否
1846,搁,ge,擱,18,木,否
1847,歌,ge,謌,14,木,否
1848,阁,ge,閣,14,水,是
1849,革,ge、ji,革,9,木,是
1850,格,ge,格,10,木,是
1851,鬲,ge,鬲,10,木,是
1852,葛,ge,葛,15,木,是
1853,蛤,ha、ge,蛤,12,水,否
1854,隔,ge,隔,18,木,否
1855,嗝,ge,嗝,13,木,否
1856,塥,ge,塥,13,木,否
1857,搿,ge,搿,14,木,否
1858,膈,ge,膈,16,木,否
1859,镉,ge,鎘,18,金,否
1860,骼,ge,肐,16,木,否
1861,哿,ge,哿,10,木,否
1862,舸,ge,舸,11,木,否
1863,个,ge,個,10,土,是
1864,各,ge,各,6,木,否
1865,虼,ge,虼,9,木,否
1866,硌,ge、li,硌,11,土,否
1867,铬,ge,鉻,14,金,否
1868,箇,ge,箇,14,木,是
1869,给,gei、ji,給,12,木,否
1870,根,gen,根,10,木,是
1871,跟,gen,跟,13,木,否
1872,哏,gen,哏,9,木,否
1873,亘,gen、xuan,亙,6,火,是
1874,艮,gen,艮,6,土,否
1875,茛,gen,茛,12,木,否
1876,更,geng,更,7,木,是
1877,庚,geng,庚,8,金,是
1878,耕,geng,畊,10,木,否
1879,赓,geng,賡,15,木,否
1880,羹,geng,羹,19,水,否
1881,郠,geng,郠,14,木,是
1882,哽,geng,哽,10,木,否
1883,埂,geng,埂,10,土,否
1884,绠,geng、bing,绠,13,木,否
1885,耿,geng,耿,10,火,是
1886,梗,geng,梗,11,木,是
1887,鲠,geng,鯁,18,木,否
1888,工,gong,工,3,木,是
1889,弓,gong,弓,3,木,是
1890,公,gong,公,4,木,是
1891,功,gong,功,5,木,是
1892,攻,gong,攻,7,木,否
1893,供,gong,供,8,木,是
1894,肱,gong,肱,10,木,否
1895,宫,gong,宫,9,金,是
1896,恭,gong,恭,10,木,是
1897,蚣,gong,蚣,10,木,否
1898,躬,gong,躳,10,木,是
1899,龚,gong,龚,22,木,是
1900,觥,gong,觵,13,火,否
1901,巩,gong,鞏,15,木,是
1902,汞,gong,銾,7,水,否
1903,拱,gong,拱,10,木,否
1904,珙,gong,珙,11,木,否
1905,共,gong,共,6,木,是
1906,贡,gong,貢,10,木,是
1907,勾,gou,勾,4,木,是
1908,佝,gou,佝,7,水,否
1909,沟,gou,溝,14,水,否
1910,钩,gou,鈎,12,金,否
1911,缑,gou,緱,15,水,是
1912,篝,gou,篝,17,木,否
1913,鞲,gou,韝,19,水,否
1914,岣,gou,岣,8,土,否
1915,狗,gou,狗,9,木,是
1916,苟,gou,苟,11,木,是
1917,枸,gou、ju,枸,9,木,否
1918,笱,gou,笱,11,木,否
1919,构,gou,構,14,木,否
1920,诟,gou,詬,13,木,否
1921,购,gou,購,17,木,否
1922,垢,gou,垢,9,土,否
1923,够,gou,够,11,水,否
1924,媾,gou,媾,17,木,否
1925,彀,gou,彀,13,木,否
1926,遘,gou,遘,18,木,否
1927,觏,gou,覯,18,木,否
1928,估,gu,估,7,木,否
1929,咕,gu,咕,8,木,否
1930,姑,gu,姑,8,木,是
1931,孤,gu,孤,8,木,是
1932,沽,gu,沽,9,水,否
1933,轱,gu,軲,12,木,否
1934,鸪,gu,鴣,16,木,否
1935,菇,gu,菇,14,木,否
1936,菰,gu,苽,14,木,否
1937,蛄,gu,蛄,11,木,否
1938,觚,gu,觚,12,木,否
1939,辜,gu,辜,12,金,是
1940,酤,gu,酤,12,木,否
1941,毂,gu,轂,16,木,否
1942,箍,gu,箍,14,木,否
1943,鹘,gu、hu,鶻,21,木,否
1944,古,gu,古,5,木,是
1945,汩,gu,汩,8,水,否
1946,诂,gu,詁,12,木,否
1947,谷,gu,谷,7,木,是
1948,股,gu,股,10,木,是
1949,牯,gu,牯,9,木,否
1950,骨,gu,骨,10,木,是
1951,罟,gu,罟,10,木,否
1952,钴,gu,鈷,13,金,否
1953,蛊,gu,蠱,23,木,否
1954,鹄,gu、he、hu,鵠,18,木,是
1955,鼓,gu,皷,14,木,是
1956,嘏,gu,嘏,14,水,否
1957,穀,gu,穀,15,木,是
1958,臌,gu,臌,19,木,否
1959,瞽,gu,瞽,18,木,否
1960,固,gu,固,8,木,否
1961,故,gu,故,9,木,是
1962,顾,gu,顧,21,木,是
1963,崮,gu,崮,11,土,否
1964,梏,gu,梏,11,木,否
1965,牿,gu,牿,11,木,否
1966,雇,gu、hu,僱,12,木,否
1967,痼,gu,痼,13,木,否
1968,锢,gu,錮,16,金,否
1969,鲴,gu,鯝,19,水,否
1970,瓜,gua,瓜,5,木,是
1971,刮,gua,刮,8,金,否
1972,胍,gua,胍,11,木,否
1973,鸹,gua,鴰,17,木,否
1974,呱,gua,呱,8,木,否
1975,剐,gua,剮,10,金,否
1976,寡,gua,寡,14,水,否
1977,卦,gua,卦,8,水,否
1978,诖,gua,詿,13,木,否
1979,挂,gua,掛,10,木,否
1980,褂,gua,褂,14,木,否
1981,乖,guai,乖,8,木,否
1982,拐,guai,枴,9,火,否
1983,怪,guai,恠,10,金,是
1984,关,guan,關,19,木,是
1985,观,guan,觀,25,木,是
1986,官,guan,官,8,木,是
1987,冠,guan,冠,9,木,是
1988,倌,guan,倌,10,木,否
1989,棺,guan,棺,12,木,否
1990,鳏,guan,鰥,21,木,否
1991,馆,guan,舘,17,木,否
1992,琯,guan,琯,13,木,是
1993,管,guan,管,14,木,是
1994,贯,guan,貫,12,木,是
1995,惯,guan,慣,16,土,否
1996,掼,guan,摜,16,木,否
1997,涫,guan,涫,12,水,否
1998,盥,guan,盥,15,水,否
1999,灌,guan,灌,22,水,是
2000,瓘,guan,瓘,22,木,否
2001,鹳,guan,鸛,29,土,否
2002,罐,guan,鑵,24,土,否
2003,光,guang,光,6,火,是
2004,咣,guang,咣,9,木,否
2005,桄,guang,桄,10,木,否
2006,胱,guang,胱,12,木,否
2007,广,guang,廣,15,木,是
2008,犷,guang,獷,19,木,否
2009,逛,guang,逛,14,木,否
2010,归,gui,歸,18,木,是
2011,圭,gui,珪,6,土,是
2012,妫,gui,嬀,15,木,是
2013,龟,gui、jun,龜,16,木,否
2014,规,gui,規,11,木,是
2015,皈,gui,皈,9,木,否
2016,闺,gui,閨,14,土,否
2017,硅,gui,硅,11,土,否
2018,瑰,gui,瓌,15,木,否
2019,鲑,gui、hua、xie,鮭,17,土,是
2020,宄,gui,宄,5,木,否
2021,轨,gui,軌,9,木,是
2022,庋,gui,庋,7,木,否
2023,匦,gui,匭,11,木,否
2024,诡,gui,詭,13,木,是
2025,癸,gui,癸,9,木,是
2026,鬼,gui,鬼,10,木,是
2027,晷,gui,晷,12,木,是
2028,簋,gui,簋,17,木,否
2029,刽,gui,劊,15,金,否
2030,刿,gui,劌,15,金,否
2031,柜,gui,匮,9,木,否
2032,炅,gui、jiong,炅,8,火,是
2033,贵,gui,貴,12,木,是
2034,桂,gui,桂,10,木,是
2035,跪,gui,跪,13,木,是
2036,鳜,gui、jue,鱖,23,木,否
2037,衮,gun,衮,10,木,否
2038,绲,gun,绲,14,木,否
2039,辊,gun,輥,16,木,否
2040,滚,gun,滚,14,水,否
2041,磙,gun,磙,15,土,否
2042,鲧,gun,鯀,18,木,否
2043,棍,gun,棍,12,木,否
2044,呙,guo,呙,7,木,否
2045,埚,guo,堝,10,土,否
2046,郭,guo,郭,15,木,是
2047,崞,guo,崞,11,土,否
2048,聒,guo,聒,12,木,否
2049,锅,guo,鍋,17,金,否
2050,蝈,guo,蟈,17,木,否
2051,囯,guo,囯,7,木,否
2052,国,guo,國,11,木,是
2053,帼,guo,幗,14,木,否
2054,掴,guo,摑,15,木,否
2055,虢,guo,虢,15,水,是
2056,馘,guo,馘,17,木,否
2057,果,guo,果,8,木,是
2058,椁,guo,槨,12,木,否
2059,蜾,guo,蜾,14,木,否
2060,裹,guo,裹,14,火,否
2061,过,guo,過,16,木,是
2062,铪,ha、ke,鉿,14,金,否
2063,哈,ha,哈,9,水,是
2064,嗨,hai,嗨,14,水,否
2065,孩,hai,孩,9,水,是
2066,骸,hai,骸,16,水,否
2067,海,hai,海,11,水,是
2068,胲,hai,胲,12,水,否
2069,醢,hai,醢,17,水,否
2070,亥,hai,亥,6,水,是
2071,骇,hai,駭,16,水,否
2072,害,hai,害,10,水,否
2073,氦,hai,氦,10,水,否
2074,顸,han,頇,12,水,否
2075,蚶,han,蚶,10,水,否
2076,酣,han,酣,11,水,否
2077,憨,han,憨,15,水,否
2078,鼾,han,鼾,17,水,否
2079,邗,han,邗,10,水,是
2080,含,han,含,7,水,否
2081,邯,han,邯,12,水,是
2082,函,han,圅,10,水,是
2083,浛,han,浛,11,水,否
2084,晗,han,晗,11,火,否
2085,涵,han,涵,12,水,否
2086,焓,han,焓,11,火,否
2087,寒,han,寒,12,水,是
2088,韩,han,韓,17,水,是
2089,罕,han,罕,7,水,是
2090,喊,han,喊,12,水,否
2091,汉,han,漢,15,水,是
2092,汗,han,汗,7,水,否
2093,旱,han,旱,7,木,是
2094,悍,han,猂,11,木,否
2095,捍,han,扞,11,木,否
2096,焊,han,銲,11,火,否
2097,琀,han,琀,12,水,否
2098,菡,han,菡,14,木,否
2099,傼,han,傼,13,水,是
2100,颔,han,頷,16,水,否
2101,撖,han,撖,15,水,否
2102,憾,han,憾,17,水,否
2103,撼,han,撼,17,水,否
2104,翰,han,翰,16,水,是
2105,瀚,han,瀚,20,水,否
2106,夯,hang,夯,5,水,否
2107,杭,hang,斻,8,木,是
2108,绗,hang,絎,12,水,否
2109,航,hang,航,10,水,是
2110,颃,hang,頏,13,水,否
2111,沆,hang,沆,8,水,否
2112,蒿,hao,蒿,16,木,是
2113,嚆,hao,嚆,16,木,否
2114,薅,hao,薅,19,木,否
2115,蚝,hao,蠔,20,水,否
2116,毫,hao,毫,11,水,否
2117,嗥,hao,噑,13,水,否
2118,豪,hao,豪,14,水,否
2119,嚎,hao,嚎,17,水,否
2120,壕,hao,壕,17,土,否
2121,濠,hao,濠,18,水,否
2122,好,hao,好,6,水,否
2123,郝,hao,郝,14,金,是
2124,号,hao,號,13,水,是
2125,昊,hao,昊,8,火,是
2126,浩,hao,浩,11,水,否
2127,耗,hao,耗,10,水,是
2128,淏,hao,淏,12,水,否
2129,皓,hao,皓,12,火,是
2130,滈,hao,滈,14,水,是
2131,颢,hao,顥,21,木,是
2132,灏,hao,灝,25,水,否
2133,诃,he,訶,12,水,否
2134,呵,he,呵,8,水,否
2135,喝,he,喝,12,水,否
2136,嗬,he,嗬,13,木,否
2137,禾,he,禾,5,水,是
2138,合,he,合,6,水,是
2139,何,he,何,7,木,是
2140,劾,he,劾,8,水,否
2141,和,he,咊,8,水,是
2142,河,he,河,9,水,是
2143,郃,he,郃,13,水,是
2144,曷,he,曷,9,火,是
2145,阂,he,闔,14,水,否
2146,核,he,核,10,木,否
2147,盍,he,盇,10,水,是
2148,荷,he,荷,13,木,是
2149,涸,he,涸,12,水,否
2150,盒,he,盒,11,水,否
2151,菏,he,菏,14,水,否
2152,訸,he,訸,12,水,否
2153,颌,he、ge,頜,15,水,否
2154,貉,hao、he、mo,貉,13,水,是
2155,阖,he,闔,18,水,是
2156,翮,he,翮,16,水,否
2157,佫,he,佫,8,水,否
2158,贺,he,賀,12,水,是
2159,褐,he,褐,15,水,否
2160,赫,he,赫,14,木,是
2161,鹤,he,鶴,21,水,是
2162,壑,he,壑,17,土,否
2163,黑,hei,黑,12,土,是
2164,嘿,hei,嘿,15,土,否
2165,痕,hen,痕,11,水,否
2166,很,hen,很,9,水,否
2167,狠,hen,狠,10,水,否
2168,恨,hen,恨,10,水,否
2169,亨,heng,亨,7,水,是
2170,哼,heng,哼,10,水,否
2171,恒,heng,恆,10,水,是
2172,桁,heng,桁,10,木,否
2173,珩,heng,珩,11,水,否
2174,横,heng,横,16,木,是
2175,衡,heng,衡,16,土,是
2176,蘅,heng,蘅,22,木,否
2177,轰,hong,轟,21,水,否
2178,哄,hong,哄,9,木,否
2179,訇,hong,訇,9,木,是
2180,烘,hong,烘,10,火,否
2181,薨,hong,薨,19,木,否
2182,弘,hong,弘,5,水,是
2183,红,hong,紅,9,水,是
2184,宏,hong,宏,7,水,是
2185,闳,hong,閎,12,木,是
2186,泓,hong,泓,9,水,否
2187,洪,hong,洪,10,水,是
2188,荭,hong,葒,15,木,否
2189,虹,hong,虹,9,木,否
2190,鸿,hong,鴻,17,水,是
2191,蕻,hong,蕻,19,木,否
2192,黉,hong,黌,16,木,否
2193,讧,hong,訌,10,木,否
2194,侯,hou,矦,9,水,是
2195,喉,hou,喉,12,木,否
2196,猴,hou,猴,13,木,否
2197,瘊,hou,瘊,14,木,否
2198,篌,hou,篌,15,木,否
2199,糇,hou,餱,15,木,否
2200,骺,hou,骺,16,木,否
2201,吼,hou,吼,7,木,否
2202,后,hou,后,9,水,是
2203,郈,hou,郈,13,水,是
2204,厚,hou,厚,9,水,是
2205,逅,hou,逅,13,木,否
2206,候,hou,候,10,水,是
2207,堠,hou,堠,12,土,否
2208,鲎,hou,鱟,16,木,否
2209,乎,hu,乎,5,水,否
2210,呼,hu,嘑,8,水,是
2211,忽,hu,忽,8,木,是
2212,烀,hu,烀,9,火,否
2213,轷,hu,軤,13,水,否
2214,唿,hu,唿,11,水,否
2215,惚,hu,惚,12,水,否
2216,滹,hu,滹,15,水,是
2217,囫,hu,囫,7,水,否
2218,弧,hu,弧,7,水,否
2219,狐,hu,狐,9,水,是
2220,胡,hu,胡,11,土,是
2221,壶,hu,壺,12,金,是
2222,斛,hu,斛,11,火,是
2223,湖,hu,湖,13,水,否
2224,猢,hu,猢,13,水,否
2225,葫,hu,葫,15,木,否
2226,煳,hu,煳,13,火,否
2227,瑚,hu,瑚,14,水,否
2228,鹕,hu,鹕,20,水,否
2229,槲,hu,槲,15,木,否
2230,糊,hu,糊,15,土,否
2231,蝴,hu,蝴,15,土,否
2232,醐,hu,醐,16,水,否
2233,觳,hu,觳,17,水,否
2234,虎,hu,虎,8,水,是
2235,浒,hu、xu,滸,15,水,否
2236,唬,hu,唬,11,水,否
2237,琥,hu,琥,13,水,否
2238,互,hu,互,4,水,是
2239,户,hu,户,4,水,是
2240,冱,hu,沍,6,水,否
2241,护,hu,護,21,水,是
2242,沪,hu,滬,15,水,否
2243,岵,hu,岵,8,土,否
2244,怙,hu,怙,9,水,否
2245,戽,hu,戽,8,火,否
2246,祜,hu,祜,10,水,否
2247,笏,hu,笏,10,木,否
2248,扈,hu,扈,11,水,是
2249,瓠,hu,瓠,11,水,是
2250,鄠,hu,鄠,18,水,是
2251,鹱,hu,鶻,25,水,否
2252,花,hua,蘤,10,木,是
2253,华,hua,華,14,水,是
2254,哗,hua,嘩,15,水,否
2255,骅,hua,驊,22,水,否
2256,铧,hua,鏵,20,金,否
2257,滑,hua,滑,14,水,是
2258,猾,hua,猾,14,水,否
2259,化,hua,化,4,水,是
2260,划,hua,划,14,金,否
2261,画,hua,畫,12,土,否
2262,话,hua,話,13,土,否
2263,桦,hua,樺,16,木,否
2264,觟,hua,觟,13,土,是
2265,怀,huai,懷,20,水,是
2266,徊,huai,佪,9,水,否
2267,淮,huai,淮,12,水,是
2268,槐,huai,槐,14,木,是
2269,踝,huai,踝,15,水,否
2270,坏,huai,壞,19,土,是
2271,欢,huan,歡,22,水,否
2272,獾,huan,貛,22,水,否
2273,还,huan、hai,還,20,水,是
2274,环,huan,環,18,金,是
2275,郇,huan,郇,13,水,是
2276,洹,huan,洹,10,水,否
2277,桓,huan,桓,10,木,是
2278,萑,huan,萑,14,木,否
2279,锾,huan,鍰,17,金,否
2280,寰,huan,寰,16,水,否
2281,缳,huan,繯,19,水,否
2282,鬟,huan,鬟,23,水,否
2283,缓,huan,緩,15,火,是
2284,幻,huan,幻,4,水,否
2285,奂,huan,奐,9,水,是
2286,宦,huan,宦,9,水,是
2287,唤,huan,唤,12,水,否
2288,换,huan,换,13,水,否
2289,浣,huan,澣,17,水,是
2290,涣,huan,涣,13,水,否
2291,患,huan,患,11,水,否
2292,焕,huan,焕,13,火,否
2293,逭,huan,逭,15,水,否
2294,痪,huan,痪,14,水,否
2295,豢,huan,豢,13,水,否
2296,漶,huan,漶,15,水,否
2297,鲩,huan,鯇,18,水,否
2298,擐,huan,擐,17,水,否
2299,肓,huang,肓,7,木,否
2300,荒,huang,荒,12,木,是
2301,慌,huang,慌,16,木,否
2302,皇,huang,皇,9,水,是
2303,凰,huang,凰,11,水,否
2304,隍,huang,隍,16,木,否
2305,黄,huang,黄,12,土,是
2306,徨,huang,徨,12,水,否
2307,惶,huang,惶,13,水,否
2308,湟,huang,湟,13,水,否
2309,遑,huang,遑,16,水,否
2310,煌,huang,煌,13,火,否
2311,潢,huang,潢,16,水,否
2312,璜,huang,璜,17,水,否
2313,篁,huang,篁,15,木,否
2314,蝗,huang,蝗,15,木,否
2315,癀,huang,癀,17,木,否
2316,磺,huang,磺,17,土,否
2317,簧,huang,簧,18,木,否
2318,蟥,huang,蟥,18,木,否
2319,鳇,huang,鰉,20,木,否
2320,恍,huang,怳,10,火,否
2321,晃,huang,晃,13,火,否
2322,谎,huang,謊,19,木,否
2323,幌,huang,幌,13,火,否
2324,滉,huang,滉,14,水,否
2325,灰,hui,灰,6,土,否
2326,诙,hui,詼,13,火,否
2327,咴,hui,咴,9,火,否
2328,恢,hui,恢,10,木,否
2329,挥,hui,揮,13,水,否
2330,虺,hui,虺,9,水,否
2331,晖,hui,暉,13,水,否
2332,珲,hui、hun,琿,14,水,否
2333,辉,hui,輝,15,水,否
2334,麾,hui,麾,15,水,否
2335,徽,hui,徽,17,金,否
2336,隳,hui,隳,17,水,否
2337,回,hui,迴,6,水,是
2338,洄,hui,洄,10,水,否
2339,茴,hui,茴,12,木,否
2340,蛔,hui,蜖,12,水,否
2341,悔,hui,悔,11,水,否
2342,卉,hui,卉,5,木,是
2343,汇,hui,匯,13,水,是
2344,会,hui、kuai,會,13,水,是
2345,讳,hui,諱,16,水,否
2346,哕,hui,噦,9,水,否
2347,浍,hui、kuai,澮,17,水,否
2348,绘,hui,繪,19,水,否
2349,荟,hui,薈,12,木,否
2350,诲,hui,誨,14,水,否
2351,恚,hui,恚,10,水,否
2352,桧,hui,檜,17,木,否
2353,烩,hui,燴,17,火,否
2354,贿,hui,賄,13,水,否
2355,彗,hui,篲,11,水,否
2356,晦,hui,晦,11,水,否
2357,秽,hui,穢,18,金,否
2358,喙,hui,喙,13,水,否
2359,惠,hui,僡,12,水,是
2360,缋,hui,繢,18,水,否
2361,毁,hui,毁,13,水,否
2362,慧,hui,慧,15,水,是
2363,蕙,hui,蕙,18,木,否
2364,蟪,hui,蟪,18,水,否
2365,昏,hun,昬,8,木,否
2366,荤,hun,葷,16,木,否
2367,婚,hun,婚,11,水,否
2368,阍,hun,閽,16,水,是
2369,浑,hun,渾,13,水,是
2370,馄,hun,餛,16,水,否
2371,魂,hun,魂,14,水,否
2372,诨,hun,諢,17,水,否
2373,混,hun,混,12,水,是
2374,溷,hun,溷,14,水,否
2375,耠,huo,耠,12,水,否
2376,锪,huo,鍃,16,金,否
2377,劐,huo,劐,18,金,否
2378,豁,huo,豁,17,木,否
2379,攉,huo,攉,20,木,否
2380,活,huo,活,10,水,否
2381,火,huo,火,4,火,是
2382,伙,huo,夥,14,火,否
2383,钬,huo,鈥,12,火,否
2384,夥,huo,夥,14,木,否
2385,或,huo,或,8,水,否
2386,货,huo,貨,11,水,是
2387,获,huo,獲,18,木,是
2388,祸,huo,禍,14,水,否
2389,惑,huo,惑,12,水,否
2390,霍,huo,靃,24,水,是
2391,镬,huo,鑊,22,金,否
2392,嚯,huo,嚯,19,水,否
2393,藿,huo,藿,23,木,否
2394,蠖,huo,蠖,20,木,否
2395,丌,ji、qi,丌,3,木,是
2396,讥,ji,譏,19,木,否
2397,击,ji,撃,17,木,否
2398,叽,ji,嘰,15,木,否
2399,饥,ji,饑,21,木,是
2400,乩,ji,乩,6,木,否
2401,圾,ji,圾,6,土,否
2402,机,ji,機,16,木,否
2403,玑,ji,璣,17,木,否
2404,肌,ji,肌,8,木,否
2405,芨,ji,芨,9,木,否
2406,矶,ji,磯,17,土,否
2407,鸡,ji,雞,21,木,是
2408,咭,ji,咭,9,木,否
2409,迹,ji,跡,13,火,否
2410,剞,ji,剞,9,金,否
2411,唧,ji,唧,10,木,否
2412,姬,ji,姬,10,木,是
2413,屐,ji,屐,10,木,否
2414,积,ji,积,16,火,否
2415,笄,ji,笄,10,木,否
2416,基,ji,基,11,土,否
2417,绩,ji,績,17,火,否
2418,嵇,ji,嵇,12,木,是
2419,犄,ji,犄,18,木,否
2420,缉,ji,緝,15,木,否
2421,赍,ji,賫,15,木,否
2422,畸,ji,畸,13,木,否
2423,跻,ji,躋,21,火,否
2424,箕,ji,箕,14,木,是
2425,畿,ji,畿,16,木,是
2426,稽,ji、qi,稽,15,木,是
2427,齑,ji,韲,19,火,否
2428,墼,ji,墼,16,木,否
2429,激,ji,激,17,木,是
2430,羁,ji,羈,24,木,否
2431,及,ji,及,3,木,是
2432,吉,ji,吉,6,木,是
2433,岌,ji,岌,6,土,否
2434,汲,ji,汲,7,水,是
2435,级,ji,級,9,木,否
2436,即,ji,即,7,水,否
2437,极,ji,極,12,木,是
2438,亟,ji,亟,8,木,否
2439,佶,ji,佶,8,木,否
2440,姞,ji,姞,9,火,是
2441,急,ji,急,9,木,否
2442,笈,ji,笈,10,木,否
2443,疾,ji,疾,10,火,是
2444,戢,ji,戢,12,木,否
2445,棘,ji,棘,12,木,是
2446,殛,ji,殛,12,木,否
2447,集,ji,集,12,木,否
2448,嫉,ji,嫉,13,木,否
2449,楫,ji,楫,13,木,否
2450,蒺,ji,蒺,16,木,否
2451,辑,ji,輯,16,金,否
2452,瘠,ji,瘠,15,木,否
2453,蕺,ji,蕺,18,木,否
2454,籍,ji、jie,籍,20,木,是
2455,几,ji,几,12,木,是
2456,己,ji、qi,己,3,土,是
2457,虮,ji,蟣,18,木,否
2458,挤,ji,擠,15,木,否
2459,脊,ji,脊,10,木,否
2460,掎,ji,掎,12,木,否
2461,戟,ji,戟,12,金,否
2462,嵴,ji,嵴,13,土,否
2463,麂,ji,麂,13,木,否
2464,计,ji,計,9,水,是
2465,记,ji,記,10,木,是
2466,伎,ji,伎,6,木,否
2467,纪,ji,紀,9,木,是
2468,妓,ji,妓,7,木,否
2469,忌,ji,忌,7,木,是
2470,技,ji,技,8,木,是
2471,际,ji,際,19,火,否
2472,剂,ji,劑,16,木,否
2473,季,ji,季,8,木,是
2474,哜,ji,嚌,17,木,否
2475,既,ji,既,9,木,是
2476,洎,ji,洎,10,水,否
2477,济,ji,濟,18,水,是
2478,继,ji,繼,20,木,否
2479,觊,ji,覬,17,木,否
2480,偈,ji,偈,11,木,否
2481,寂,ji,寂,11,金,否
2482,寄,ji,寄,11,木,是
2483,悸,ji,悸,12,木,否
2484,祭,ji、zhai,祭,11,金,是
2485,蓟,ji,薊,19,木,是
2486,暨,ji,暨,14,木,是
2487,跽,ji,跽,14,木,否
2488,霁,ji,霽,22,水,否
2489,鲚,ji,鱭,25,木,否
2490,稷,ji,稷,15,木,否
2491,鲫,ji,鯽,18,木,否
2492,冀,ji,冀,16,木,是
2493,髻,ji,髻,16,木,否
2494,骥,ji,驥,26,金,否
2495,加,jia,加,5,木,否
2496,夹,jia,夾,7,木,是
2497,佳,jia,佳,8,木,否
2498,迦,jia,迦,12,木,否
2499,枷,jia,枷,9,木,否
2500,浃,jia,浹,10,水,否
2501,珈,jia,珈,10,木,否
2502,家,jia,家,10,木,是
2503,痂,jia,痂,10,木,否
2504,笳,jia,笳,11,木,否
2505,袈,jia,袈,11,木,否
2506,袷,qia、jia,夾,12,木,否
2507,葭,jia、xia,葭,15,木,是
2508,跏,jia,跏,12,木,否
2509,嘉,jia,嘉,14,木,是
2510,镓,jia,鎵,18,金,否
2511,岬,jia,岬,8,土,否
2512,郏,jia,郟,14,木,是
2513,荚,jia,莢,13,木,是
2514,恝,jia,恝,10,木,否
2515,戛,jia,戞,11,木,否
2516,铗,jia,鋏,15,金,否
2517,蛱,jia,蛺,11,木,否
2518,颊,jia,頰,16,木,否
2519,甲,jia,甲,5,木,是
2520,叚,xia,叚,9,木,是
2521,胛,jia,胛,11,木,否
2522,贾,jia,賈,13,水,是
2523,钾,jia,鉀,13,金,否
2524,徦,jia,叚,11,木,是
2525,瘕,jia,瘕,14,木,否
2526,价,jia,價,15,木,否
2527,驾,jia,駕,15,木,是
2528,架,jia,架,9,木,否
2529,假,jia,叚,11,木,是
2530,嫁,jia,嫁,13,木,否
2531,稼,jia,稼,15,木,否
2532,戋,jian,戔,8,金,是
2533,奸,jian,姦,6,木,否
2534,尖,jian,尖,6,火,否
2535,幵,jian,幵,6,木,是
2536,坚,jian,堅,11,木,是
2537,歼,jian,殲,21,木,否
2538,间,jian,閒,12,木,否
2539,肩,jian,肩,8,木,否
2540,艰,jian,艱,17,木,否
2541,兼,jian,兼,10,木,否
